,date_time,username,user_id,post_type,text,image
0,2022-10-20 23:22:57,Rew Tem,812068554,ประกาศของซื้อขาย,"['ขาย', 'ปรินเตอร์', 'hp', 'ซื้อ', 'มือหนึ่ง', '1800', 'ขาย', '1000', 'บาท', 'ประกัน', 'นัด', 'รับได้', 'แถว', 'มจพ', 'สนใจ', 'ติดต่อ', '0891625999', 'ทราย']",https://m.facebook.com/photo/view_full_size/?fbid=10160162692793555&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
1,2022-10-21 16:45:09,Folk Unche,100002669275916,ประกาศของซื้อขาย,"['ปล่อย', 'บัตร', 'ขาย', 'บัตร', 'calum', 'scott', '“', 'bridg', 'asia', 'tour', '2022', '”', 'เสาร์', '22', 'ตุลาคม', '2565', 'บัตร', '2200', 'บาท', '1000', 'บาท', 'จำนวน', '2', 'ใบ']",https://m.facebook.com/photo/view_full_size/?fbid=5353413808090875&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&_ft_=qid.-5391692896100305874%3Amf_story_key.1268356407297116%3Atop_level_post_id.1268356407297116%3Atl_objid.1268356407297116%3Acontent_owner_id_new.100002669275916%3Apage_id.197822284350539%3Asrc.22%3Aphoto_id.5353413808090875%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX-ax58XN4sL0svN%3Asty.308%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22197822284350539%22%3A%7B%22page_id%22%3A197822284350539%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100002669275916%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1666345509%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1268356407297116%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100002669275916%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2Cg
2,2022-10-21 13:14:39,Rattanachai,100006428336507,ประกาศของซื้อขาย,"['ขออนุญาต', 'ขาย', 'โต๊ะ', 'คอม', 'ซื้อ', 'shope', '900', 'ปล่อย', '500', '120', 'x', '60', 'x', '75', 'มีตำหนิ', 'ด้านหลัง', 'นิดเดียว', 'รูป', 'บ้าน', 'โซน', 'วัด', 'กำแพง']",https://m.facebook.com/photo/view_full_size/?fbid=4004340126456892&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
3,2022-10-21 15:22:25,ภาณุพงศ์ ศรีสุทธิ์,100007151494498,ประกาศของหาย,"['ติดต่อ', 'รับคืน', 'เจอ', 'ตึก', 'tgg']",https://m.facebook.com/photo/view_full_size/?fbid=3250145368567148&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&_ft_=qid.-5391692896331172627%3Amf_story_key.1268320193967404%3Atop_level_post_id.1268320193967404%3Atl_objid.1268320193967404%3Acontent_owner_id_new.100007151494498%3Apage_id.197822284350539%3Asrc.22%3Aphoto_id.3250145368567148%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX-Ta8CGz-hkRo1N%3Asty.308%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22197822284350539%22%3A%7B%22page_id%22%3A197822284350539%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100007151494498%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1666340545%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1268320193967404%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100007151494498%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2Cg
4,2022-10-20 23:09:24,Kanyarat Phongsathian,100008315855896,ประกาศของซื้อขาย,"['ติด', 'จอง', 'ขาย', 'สัญญา', 'หอ', 'bless', 'salcha', 'สัญญา', '10900', 'เข้าเดือน', '5800', '16700', 'ตอน', 'หมดสัญญา', 'ได้คืน', '10900', 'หมดสัญญา', 'กค', '2566', 'ห้อง', 'เดือน', '5800', 'ค่าน้ำ', 'หน่วย', '20', '฿', 'ไฟ', 'หน่วย', '8', '฿', 'ชั้น', '5']",https://m.facebook.com/photo/view_full_size/?fbid=3539102119710282&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
5,2022-10-18 16:45:42,GB'AomAm Fz,100003922308416,ประกาศของซื้อขาย,"['มอ', 'รู้จัก', 'ร้าน', 'ขาย', 'ว่าว', 'เล่น', 'ขอบคุณ', 'ขอบคุณ', 'ล่วงหน้า', 'ค้าบ']",
6,2022-10-13 17:25:18,สรวิชญ์ มงคลชัยชนะ,100009381055222,ประกาศของซื้อขาย,"['ขาย', 'สัญญา', 'หอ', 'ulif', 'prime', 'ห้อง', '34', 'คน', 'ห้อง', 'ริม', 'ชั้น', '6', 'ห้อง', '10500', 'บาท', 'เดือน', 'เดือน', 'ธันวาคม', 'รายละเอียด', '1', 'ประกัน', 'สัญญา', '14000', 'สัญญา', '1', 'ปี', '2', 'ห้อง', 'เดือน', 'รายละเอียด', 'หอ', 'น้ำ', '19', 'หน่วย', 'มิเตอร์', 'ไฟ', '8', 'หน่วย', 'มิเตอร์', 'ที่จอดรถ', 'ยนต์', 'ฟรี', 'ที่จอดรถ', 'มอเตอร์ไซค์', 'มีค่า', 'ส่วนกลาง', 'ฟรี', 'คีย์', 'การ์ด', '4', 'ใบ', 'ฟรี', 'ฟิตเนส', 'ให้บริการ', 'ฟรี', 'ล้าง', 'แอร์', '6', 'เดือน', 'สิ่งอำนวยความสะดวก', 'เครื่อง', 'ป', 'ริ้น', 'เต', 'อร', '์', 'หอพัก', 'ให้บริการ', '24', 'ชม', 'ตู้', 'เซเว่น', 'ให้บริการ', '24', 'ชม', 'คาเฟ่', 'เครื่องดื่ม', 'ตึก', 'ให้บริการ', 'คาเฟ่', 'ขาย', 'เครื่องดื่ม', 'แอล', 'กอ', 'ฮอร์', 'ตู้', 'บริการ', 'พัสดุ', '24', 'ชม', 'สอบถาม', 'รายละเอียด', 'ทัก', 'แชท']",https://m.facebook.com/photo/view_full_size/?fbid=3412572875732047&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
7,2022-10-20 01:36:33,โดม วราสุทธิ์,100007976834756,ประกาศของซื้อขาย,"['ส่งต่อ', 'ตู้เย็น', 'ค้าบ', 'ผม', 'ซื้อ', 'พี่', 'ย้าย', 'หอ', 'คับ', 'หอ', 'ตู้เย็น', 'ขายต่อ', 'คับ', '1500', 'บาท', 'คับ', 'ค้าบ', 'ขาย', 'ค้าบ']",https://m.facebook.com/photo/view_full_size/?fbid=3356098081332720&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
8,2022-10-19 18:47:50,เอิง.,100002596442411,ประกาศของซื้อขาย,"['ขาย', 'เซ็ต', '1000', 'คอนโด', 'เซ็น', 'ทริค', 'ติวานนท์']",https://m.facebook.com/photo/view_full_size/?fbid=5442733405823154&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&_ft_=qid.-5391688568252240806%3Amf_story_key.1266941600771930%3Atop_level_post_id.1266941600771930%3Atl_objid.1266941600771930%3Acontent_owner_id_new.100002596442411%3Apage_id.197822284350539%3Asrc.22%3Aphoto_id.5442733405823154%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX_0mtdZKcGKDgPY%3Asty.308%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22197822284350539%22%3A%7B%22page_id%22%3A197822284350539%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100002596442411%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1666180070%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1266941600771930%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100002596442411%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2Cg
9,2022-10-21 08:22:31,Jittima Wongnayat,100005059268488,ประกาศของหาย,"['เจอ', 'กระเป๋า', 'เงิน', 'หนัง', 'สีน้ำเงิน', 'clip', 'wallet', 'มอ', 'แจ้ง', 'ตอนนี้', 'กระเป๋า', 'เงิน', 'หาย']",
